run 0: {'page': 1, 'para': 0, 'line': 1, 'text': '[570', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 1: {'page': 1, 'para': 0, 'line': 1, 'text': '] ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 2: {'page': 1, 'para': 0, 'line': 1, 'text': 'VIII. Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 3: {'page': 1, 'para': 0, 'line': 1, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 4: {'page': 1, 'para': 0, 'line': 1, 'text': 'uch. Von der Beziehung', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 5: {'page': 1, 'para': 1, 'line': 2, 'text': 'Achter Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 6: {'page': 1, 'para': 1, 'line': 2, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 7: {'page': 1, 'para': 1, 'line': 2, 'text': 'uch.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 8: {'page': 1, 'para': 1, 'line': 3, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 9: {'page': 1, 'para': 1, 'line': 3, 'text': 'Von der Beziehung der h', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 10: {'page': 1, 'para': 1, 'line': 3, 'text': 'ö', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 11: {'page': 1, 'para': 1, 'line': 3, 'text': 'hern Kenntni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 12: {'page': 1, 'para': 1, 'line': 3, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 13: {'page': 1, 'para': 1, 'line': 3, 'text': 'e', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 14: {'page': 1, 'para': 1, 'line': 4, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 15: {'page': 1, 'para': 1, 'line': 4, 'text': 'der rai', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 16: {'page': 1, 'para': 1, 'line': 4, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 17: {'page': 1, 'para': 1, 'line': 4, 'text': 'onnirenden Vernunft, zu den', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 18: {'page': 1, 'para': 1, 'line': 5, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 19: {'page': 1, 'para': 1, 'line': 5, 'text': 'Kenntni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 20: {'page': 1, 'para': 1, 'line': 5, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 21: {'page': 1, 'para': 1, 'line': 5, 'text': 'en des gemeinen ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 22: {'page': 1, 'para': 1, 'line': 5, 'text': 'Men-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 23: {'page': 1, 'para': 1, 'line': 6, 'text': 's', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 24: {'page': 1, 'para': 1, 'line': 6, 'text': 'chenver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 25: {'page': 1, 'para': 1, 'line': 6, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 26: {'page': 1, 'para': 1, 'line': 6, 'text': 'tandes', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 27: {'page': 1, 'para': 1, 'line': 6, 'text': '.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 28: {'page': 1, 'para': 2, 'line': 7, 'text': 'I.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 29: {'page': 1, 'para': 3, 'line': 8, 'text': 'Was h', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 30: {'page': 1, 'para': 3, 'line': 8, 'text': 'ö', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 31: {'page': 1, 'para': 3, 'line': 8, 'text': 'here Kenntni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 32: {'page': 1, 'para': 3, 'line': 8, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 33: {'page': 1, 'para': 3, 'line': 8, 'text': 'e der rai', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 34: {'page': 1, 'para': 3, 'line': 8, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 35: {'page': 1, 'para': 3, 'line': 8, 'text': 'onnirenden', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 36: {'page': 1, 'para': 3, 'line': 9, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 37: {'page': 1, 'para': 3, 'line': 9, 'text': 'Vernunft ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 38: {'page': 1, 'para': 3, 'line': 9, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 39: {'page': 1, 'para': 3, 'line': 9, 'text': 'ind? Von der Natur der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 40: {'page': 1, 'para': 3, 'line': 9, 'text': 'all-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 41: {'page': 1, 'para': 3, 'line': 10, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 42: {'page': 1, 'para': 3, 'line': 10, 'text': 'gemeinen', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 43: {'page': 1, 'para': 3, 'line': 10, 'text': ' Theorien.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 44: {'page': 1, 'para': 4, 'line': 11, 'text': 'Vordem ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 45: {'page': 1, 'para': 4, 'line': 11, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 46: {'page': 1, 'para': 4, 'line': 11, 'text': 'etzte man die ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 47: {'page': 1, 'para': 4, 'line': 11, 'text': 'sinnliche', 'isbreak': 'yes', 'bold': True, 'strikethrough': False, 'italic': False, 'underline': False}
run 48: {'page': 1, 'para': 4, 'line': 11, 'text': ' Kenntniß der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 49: {'page': 1, 'para': 4, 'line': 11, 'text': 'ver-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 50: {'page': 1, 'para': 4, 'line': 12, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
